VARNAMES: CID HOSTGAL_LOGMASS
SN: PSc091437 9
SN: PSc091538 8.671
SN: PSc091576 -9
SN: PSc091719 6.912
SN: PSc091721 10.796
SN: PSc091727 9.478
SN: PSc091729 8.527
SN: PSc091735 10.663
SN: PSc091736 9.528
SN: PSc091739 10.309
SN: PSc091742 9.889
SN: PSc091745 10.272
SN: PSc091746 9.368
SN: PSc091748 8.911
SN: PSc091751 8.737
SN: PSc091753 9.663
SN: PSc091755 9.964
SN: PSc091820 9.132
SN: PSc091869 9.866
SN: PSc091889 9.375
SN: PSc091902 9.157
SN: PSc092056 -9
SN: PSc092228 9.896
SN: PSc092229 9.29
SN: PSc092233 9.214
SN: PSc092249 9.781
SN: PSc092272 10.116
SN: PSc092279 -9
SN: PSc092296 9.571
SN: PSc092299 9.366
SN: PSc092300 -9
SN: PSc092304 9.691
SN: PSc092305 -9
SN: PSc100004 10.188
SN: PSc100005 9.831
SN: PSc100014 10.819
SN: PSc100015 9.63
SN: PSc100020 8.635
SN: PSc100034 11.201
SN: PSc100035 10.407
SN: PSc100038 10.132
SN: PSc100043 -9
SN: PSc100051 10.687
SN: PSc100055 8.775
SN: PSc100056 8.267
SN: PSc100058 9.096
SN: PSc100063 9.914
SN: PSc100074 8.892
SN: PSc100076 8.741
SN: PSc100083 10.62
SN: PSc100090 9.615
SN: PSc100101 11.04
SN: PSc100102 11.251
SN: PSc100103 8.865
SN: PSc100116 9.628
SN: PSc100119 11.023
SN: PSc100121 10.345
SN: PSc100127 -9
SN: PSc100142 10.377
SN: PSc100163 9.325
SN: PSc100164 10.267
SN: PSc100168 10.867
SN: PSc100170 10.261
SN: PSc100182 10.933
SN: PSc100202 9.046
SN: PSc100206 10.727
SN: PSc100210 10.033
SN: PSc100213 8.996
SN: PSc100230 10.327
SN: PSc100234 -9
SN: PSc100239 8.158
SN: PSc100244 10.181
SN: PSc100249 7.094
SN: PSc100274 7.242
SN: PSc100276 8.317
SN: PSc100287 10.724
SN: PSc100289 10.049
SN: PSc100320 10.439
SN: PSc100322 9.021
SN: PSc100330 10.771
SN: PSc100346 8.575
SN: PSc100358 9.208
SN: PSc100362 11.103
SN: PSc100363 9.842
SN: PSc100382 10.73
SN: PSc100397 11.715
SN: PSc100405 10.695
SN: PSc100412 11.112
SN: PSc100413 10.797
SN: PSc100417 10.209
SN: PSc100418 10.763
SN: PSc100419 10.19
SN: PSc100421 8.711
SN: PSc100423 11.176
SN: PSc110004 9.789
SN: PSc110006 10.805
SN: PSc110008 -9
SN: PSc110010 8.934
SN: PSc110013 10.002
SN: PSc110014 10.785
SN: PSc110015 10.772
SN: PSc110016 8.913
SN: PSc110018 9.337
SN: PSc110020 9.996
SN: PSc110022 10.843
SN: PSc110023 9.346
SN: PSc110024 8.984
SN: PSc110025 8.84
SN: PSc110027 10.685
SN: PSc110029 9.908
SN: PSc110030 10.586
SN: PSc110031 9.159
SN: PSc110032 9.991
SN: PSc110033 9.596
SN: PSc110034 9.854
SN: PSc110036 9.369
SN: PSc110037 9.742
SN: PSc110038 8.414
SN: PSc110039 9.368
SN: PSc110041 10.479
SN: PSc110055 9.532
SN: PSc110058 9.391
SN: PSc110113 9.495
SN: PSc110163 9.557
SN: PSc110175 9.698
SN: PSc110235 10.816
SN: PSc110403 10.581
SN: PSc110404 9.653
SN: PSc110405 8.326
SN: PSc110412 8.518
SN: PSc110416 10.784
SN: PSc110419 -9
SN: PSc110420 8.626
SN: PSc110422 10.267
SN: PSc110425 8.969
SN: PSc110426 10.262
SN: PSc110427 9.565
SN: PSc110428 9.038
SN: PSc110429 9.72
SN: PSc110430 8.624
SN: PSc110431 10.973
SN: PSc110438 9.623
SN: PSc110451 10.027
SN: PSc110456 7.507
SN: PSc110460 9.01
SN: PSc110464 10.818
SN: PSc110468 8.143
SN: PSc110471 10.772
SN: PSc110476 11.204
SN: PSc110478 9.093
SN: PSc110484 8.541
SN: PSc110485 8.816
SN: PSc110529 8.247
SN: PSc110536 10.096
SN: PSc110541 9.664
SN: PSc110542 9.868
SN: PSc110546 9.168
SN: PSc110567 10.938
SN: PSc110577 11.043
SN: PSc110595 -9
SN: PSc110647 9.562
SN: PSc110666 10.874
SN: PSc110710 10.378
SN: PSc110711 11.143
SN: PSc110712 8.522
SN: PSc110716 9.768
SN: PSc110719 10.376
SN: PSc110721 11.267
SN: PSc110722 10.585
SN: PSc110725 11.28
SN: PSc110726 10.221
SN: PSc110727 10.86
SN: PSc110728 8.327
SN: PSc110732 8.774
SN: PSc110734 10.898
SN: PSc110737 -9
SN: PSc120010 9.934
SN: PSc120020 -9
SN: PSc120031 8.737
SN: PSc120036 7.908
SN: PSc120039 9.768
SN: PSc120050 8.836
SN: PSc120060 10.565
SN: PSc120067 8.593
SN: PSc120085 10.445
SN: PSc120086 10.696
SN: PSc120094 7.805
SN: PSc120103 9.196
SN: PSc120111 9.072
SN: PSc120113 5.903
SN: PSc120122 10.047
SN: PSc120143 8.784
SN: PSc120151 11.191
SN: PSc120160 7.916
SN: PSc120170 10.055
SN: PSc120172 11.861
SN: PSc120175 10.247
SN: PSc120189 7.941
SN: PSc120201 9.958
SN: PSc120215 10.608
SN: PSc120223 9.341
SN: PSc120225 -9
SN: PSc120228 5.749
SN: PSc120233 9.383
SN: PSc120236 10.794
SN: PSc120243 10.449
SN: PSc120249 8.594
SN: PSc120253 9.744
SN: PSc120257 9.163
SN: PSc120277 9.408
SN: PSc120280 9.444
SN: PSc120288 8.329
SN: PSc120293 7.788
SN: PSc120304 11.328
SN: PSc120313 9.845
SN: PSc120333 9.12
SN: PSc120334 -9
SN: PSc120336 8.787
SN: PSc120351 9.476
SN: PSc120369 10.082
SN: PSc120400 10.325
SN: PSc120415 10.81
SN: PSc120419 8.913
SN: PSc120434 9.049
SN: PSc120441 9.198
SN: PSc120444 8.351
SN: PSc120455 10.169
SN: PSc120458 11.513
SN: PSc120480 8.985
SN: PSc120497 11.481
SN: PSc120533 9.776
SN: PSc120542 7.833
SN: PSc120543 11.163
SN: PSc120551 10.709
SN: PSc120553 9.919
SN: PSc120554 8.675
SN: PSc120561 10.103
SN: PSc120567 10.396
SN: PSc120568 -9
SN: PSc120570 8.542
SN: PSc120581 8.18
SN: PSc120584 10.231
SN: PSc120585 9.219
SN: PSc120586 9.107
SN: PSc120593 9.64
SN: PSc120613 9.555
SN: PSc120634 -9
SN: PSc120635 11.172
SN: PSc120637 10.534
SN: PSc120638 10.097
SN: PSc120646 9.698
SN: PSc120649 7.767
SN: PSc120650 -9
SN: PSc120655 9.435
SN: PSc120657 9.484
SN: PSc120662 8.513
SN: PSc120663 10.498
SN: PSc120665 11.278
SN: PSc120674 10.372
SN: PSc120676 9.034
SN: PSc120677 10.693
SN: PSc120688 11.04
SN: PSc120694 8.825
SN: PSc120696 8.909
SN: PSc120698 -9
SN: PSc120700 11.09
SN: PSc120701 9.827
SN: PSc120703 8.832
SN: PSc120705 11.14
SN: PSc120706 11.004
SN: PSc120713 9.796
SN: PSc120715 10.921
SN: PSc120717 10.722
SN: PSc120719 10.646
SN: PSc120726 10.129
SN: PSc120728 9.201
SN: PSc120731 9.259
SN: PSc120741 10.571
SN: PSc120744 10.661
SN: PSc120750 10.997
SN: PSc120754 8.116
