VARNAMES: SALT2c LOGMASS PROB
PDF: 0.050 9.00 0.382
PDF: 0.060 9.00 0.304
PDF: 0.070 9.00 0.237
PDF: 0.080 9.00 0.180
PDF: 0.090 9.00 0.134
PDF: 0.100 9.00 0.097
PDF: 0.110 9.00 0.068
PDF: 0.120 9.00 0.047
PDF: 0.130 9.00 0.032
PDF: 0.140 9.00 0.021
PDF: 0.150 9.00 0.013
PDF: 0.160 9.00 0.008
PDF: 0.170 9.00 0.005
PDF: 0.180 9.00 0.003
PDF: 0.190 9.00 0.002
PDF: 0.200 9.00 0.001
PDF: 0.210 9.00 0.001
PDF: 0.220 9.00 0.000
PDF: 0.230 9.00 0.000
PDF: 0.240 9.00 0.000
PDF: 0.250 9.00 0.000
PDF: 0.260 9.00 0.000
PDF: 0.270 9.00 0.000
PDF: 0.280 9.00 0.000
PDF: 0.290 9.00 0.000
PDF: 0.300 9.00 0.000
PDF: 0.310 9.00 0.000
PDF: 0.320 9.00 0.000
PDF: 0.330 9.00 0.000
PDF: 0.340 9.00 0.000
PDF: 0.350 9.00 0.000
PDF: 0.360 9.00 0.000
PDF: 0.370 9.00 0.000
PDF: 0.380 9.00 0.000
PDF: 0.390 9.00 0.000
PDF: 0.400 9.00 0.000
PDF: 0.410 9.00 0.000
PDF: 0.420 9.00 0.000
PDF: 0.430 9.00 0.000
PDF: 0.440 9.00 0.000
PDF: 0.450 9.00 0.000
PDF: 0.460 9.00 0.000
PDF: 0.470 9.00 0.000
PDF: 0.480 9.00 0.000
PDF: 0.490 9.00 0.000
PDF: -0.500 9.20 0.000
PDF: -0.490 9.20 0.000
PDF: -0.480 9.20 0.000
PDF: -0.470 9.20 0.000
PDF: -0.460 9.20 0.000
PDF: -0.450 9.20 0.000
PDF: -0.440 9.20 0.000
PDF: -0.430 9.20 0.000
PDF: -0.420 9.20 0.000
PDF: -0.410 9.20 0.000
PDF: -0.400 9.20 0.000
PDF: -0.390 9.20 0.000
PDF: -0.380 9.20 0.000
PDF: -0.370 9.20 0.000
PDF: -0.360 9.20 0.000
PDF: -0.350 9.20 0.000
PDF: -0.340 9.20 0.000
PDF: -0.330 9.20 0.000
PDF: -0.320 9.20 0.000
PDF: -0.310 9.20 0.000
PDF: -0.300 9.20 0.000
PDF: -0.290 9.20 0.000
PDF: -0.280 9.20 0.000
PDF: -0.270 9.20 0.000
PDF: -0.260 9.20 0.000
PDF: -0.250 9.20 0.000
PDF: -0.240 9.20 0.000
PDF: -0.230 9.20 0.000
PDF: -0.220 9.20 0.000
PDF: -0.210 9.20 0.000
PDF: -0.200 9.20 0.000
PDF: -0.190 9.20 0.000
PDF: -0.180 9.20 0.000
PDF: -0.170 9.20 0.000
PDF: -0.160 9.20 0.000
PDF: -0.150 9.20 0.000
PDF: -0.140 9.20 0.001
PDF: -0.130 9.20 0.002
PDF: -0.120 9.20 0.009
PDF: -0.110 9.20 0.030
PDF: -0.100 9.20 0.081
PDF: -0.090 9.20 0.188
PDF: -0.080 9.20 0.367
PDF: -0.070 9.20 0.605
PDF: -0.060 9.20 0.841
PDF: -0.050 9.20 0.986
PDF: -0.040 9.20 1.000
PDF: -0.030 9.20 0.985
PDF: -0.020 9.20 0.956
PDF: -0.010 9.20 0.915
PDF: 0.000 9.20 0.864
PDF: 0.010 9.20 0.804
PDF: 0.020 9.20 0.737
PDF: 0.030 9.20 0.666
PDF: 0.040 9.20 0.594
PDF: 0.050 9.20 0.522
PDF: 0.060 9.20 0.452
PDF: 0.070 9.20 0.386
PDF: 0.080 9.20 0.325
PDF: 0.090 9.20 0.270
PDF: 0.100 9.20 0.221
PDF: 0.110 9.20 0.178
PDF: 0.120 9.20 0.142
PDF: 0.130 9.20 0.111
PDF: 0.140 9.20 0.086
PDF: 0.150 9.20 0.065
PDF: 0.160 9.20 0.049
PDF: 0.170 9.20 0.036
PDF: 0.180 9.20 0.027
PDF: 0.190 9.20 0.019
PDF: 0.200 9.20 0.014
PDF: 0.210 9.20 0.009
PDF: 0.220 9.20 0.007
PDF: 0.230 9.20 0.004
PDF: 0.240 9.20 0.003
PDF: 0.250 9.20 0.002
PDF: 0.260 9.20 0.001
PDF: 0.270 9.20 0.001
PDF: 0.280 9.20 0.001
PDF: 0.290 9.20 0.000
PDF: 0.300 9.20 0.000
PDF: 0.310 9.20 0.000
PDF: 0.320 9.20 0.000
PDF: 0.330 9.20 0.000
PDF: 0.340 9.20 0.000
PDF: 0.350 9.20 0.000
PDF: 0.360 9.20 0.000
PDF: 0.370 9.20 0.000
PDF: 0.380 9.20 0.000
PDF: 0.390 9.20 0.000
PDF: 0.400 9.20 0.000
PDF: 0.410 9.20 0.000
PDF: 0.420 9.20 0.000
PDF: 0.430 9.20 0.000
PDF: 0.440 9.20 0.000
PDF: 0.450 9.20 0.000
PDF: 0.460 9.20 0.000
PDF: 0.470 9.20 0.000
PDF: 0.480 9.20 0.000
PDF: 0.490 9.20 0.000
PDF: -0.500 9.40 0.000
PDF: -0.490 9.40 0.000
PDF: -0.480 9.40 0.000
PDF: -0.470 9.40 0.000
PDF: -0.460 9.40 0.000
PDF: -0.450 9.40 0.000
PDF: -0.440 9.40 0.000
PDF: -0.430 9.40 0.000
PDF: -0.420 9.40 0.000
PDF: -0.410 9.40 0.000
PDF: -0.400 9.40 0.000
PDF: -0.390 9.40 0.000
PDF: -0.380 9.40 0.000
PDF: -0.370 9.40 0.000
PDF: -0.360 9.40 0.000
